p_val	avg_logFC	pct.1	pct.2	p_val_adj
Baiap2	5.22435803657662e-21	0.517098316204498	0.669	0.422	7.00638656285291e-17
Tceb2	5.96378799241175e-21	0.637658417054936	0.751	0.495	7.9980360766234e-17
Nt5c	7.51399654054728e-21	0.414292008857253	0.455	0.203	1.0077020760528e-16
X1810011O10Rik	8.60186246746756e-21	0.530758575945754	0.665	0.4	1.15359577551207e-16
Arpc4	8.66732657338909e-21	0.839125176608584	0.556	0.297	1.16237516675721e-16
Mpp1	9.03461359584265e-21	0.331898846984601	0.397	0.162	1.21163202933846e-16
Postn	9.75312251790961e-21	-1.98553825970962	0.117	0.392	1.30799126087686e-16
Col1a1	9.78687456475041e-21	-2.61794475080822	0.07	0.344	1.31251774787868e-16
Eno1b	1.29681217635636e-20	0.469349311488023	0.51	0.247	1.73915480971151e-16
Ddb1	1.45079030180407e-20	0.513311185301951	0.794	0.598	1.94565487374944e-16
Serping1	1.86192932511272e-20	-2.12951676474821	0.066	0.334	2.49703341790867e-16
Itga6	1.86491643361324e-20	0.418935299536448	0.49	0.219	2.50103942911872e-16
Ctsb	2.21090331277267e-20	-0.978903694842031	0.794	0.826	2.96504243275943e-16
Tes	3.41021029464713e-20	0.428191572989232	0.72	0.451	4.57343302615126e-16
Zmat3	3.82382808767135e-20	0.310570711517804	0.307	0.111	5.12813584837605e-16
Vps36	4.23009930301801e-20	0.360475952646863	0.346	0.132	5.67298617527746e-16
Dvl1	4.31145746889918e-20	0.491517144936014	0.486	0.232	5.78209561154069e-16
Hbegf	6.38492884873416e-20	0.596995252587113	0.693	0.476	8.56282807903738e-16
Txndc17	6.51726381748381e-20	0.516253722672583	0.673	0.427	8.74030250562753e-16
Laptm5	8.52727786391457e-20	-1.79108172357179	0.023	0.284	1.14359323432958e-15
Ctsk	1.43163957784489e-19	-1.5740548882763	0.039	0.298	1.91997183784778e-15
Tsc22d1	1.49296151821688e-19	0.674526179531746	0.638	0.405	2.00221069208065e-15
Tfap2a	1.62829736886931e-19	0.41292669953362	0.335	0.129	2.18370960139064e-15
Ctnna1	2.36723298748915e-19	0.440591119497258	0.774	0.532	3.1746961595217e-15
Fam96b	2.73981468983019e-19	0.53199365658785	0.467	0.227	3.67436548053127e-15
Lgmn	2.75854995044396e-19	-1.33064625465804	0.16	0.419	3.6994913385404e-15
Pdgfb	2.85701568696467e-19	0.304246311266685	0.284	0.095	3.83154373778831e-15
Dusp14	3.01971982855e-19	0.394735848324596	0.362	0.144	4.04974626206841e-15
Ltbp1	3.38443650415808e-19	0.36902415997694	0.323	0.117	4.5388677957264e-15
Cd200	4.01210216297859e-19	0.305421076127503	0.432	0.185	5.38063021077059e-15
Zfand2a	4.11856687420333e-19	0.559905733031567	0.529	0.279	5.52341003499409e-15
Tnfaip3	4.31895180371867e-19	-1.20652867845405	0.233	0.49	5.79214626396711e-15
Alcam	4.71126186994604e-19	0.374537587389537	0.401	0.172	6.31827329378464e-15
Cd302	4.85895910158389e-19	-0.773862831488968	0.016	0.265	6.51635005113415e-15
Map1b	4.90314711262164e-19	0.510535962236767	0.447	0.215	6.57561059273689e-15
Cnn2	5.25489447632594e-19	0.697276706015062	0.584	0.352	7.04733898220072e-15
Aes	5.28003402467214e-19	0.56205179098605	0.623	0.348	7.08105363048781e-15
Capn2	5.73196505501723e-19	0.440944171611811	0.634	0.381	7.6871383352836e-15
Efnb1	5.92341780124075e-19	0.388629575318423	0.385	0.159	7.94389561324397e-15
Fam162a	5.97798823012845e-19	0.431705289078885	0.514	0.252	8.01708001542526e-15
Rala	5.99437541662685e-19	0.361206269913229	0.553	0.295	8.03905687123827e-15
Ccdc80	6.29864347662648e-19	-1.35342800778794	0.023	0.273	8.44711076650377e-15
Fscn1	9.87775530477859e-19	0.326620919692313	0.56	0.291	1.32470576392386e-14
Crip1	1.02747962301207e-18	0.733472615144125	0.856	0.661	1.37795292242149e-14
Aldoa	1.02906940863027e-18	0.496525875599028	0.914	0.782	1.38008498391406e-14
Inhba	1.04968427874187e-18	0.505051035346375	0.424	0.187	1.40773158622073e-14
Tuba1a	1.09683680679319e-18	0.528302462589836	0.72	0.467	1.47096784159035e-14
Hsp90ab1	1.33289981712825e-18	0.293471119282067	0.965	0.886	1.7875519447507e-14
Loxl1	1.61719267321368e-18	-1.41495578938726	0.039	0.286	2.16881709404687e-14
Col6a2	1.73427746096282e-18	-1.93814012736138	0.07	0.319	2.32583950289723e-14
Dbndd2	1.79950629229897e-18	0.288991467514594	0.405	0.176	2.41331788860215e-14
Atp5b	1.83007221629078e-18	0.504534384047639	0.868	0.72	2.45430984926756e-14
